name,postcode,latitude,longitude,URL
Michaelwood,GL11 6DD,51.666641,-2.420144,http://motorwayservices.uk/Michaelwood
Middlewich,CW10 0JB,53.195137,-2.432264,http://motorwayservices.uk/Middlewich
Mile_End,SY11 4JA,52.849412,-3.026558,http://motorwayservices.uk/Mile_End
Milford,IP28 6AS,52.335564,0.531698,http://motorwayservices.uk/Milford
Milton_Heights,OX14 4TX,51.618762,-1.300193,http://motorwayservices.uk/Milton_Heights
Milton_Keynes,MK17 9DN,51.991784,-0.699304,http://motorwayservices.uk/Milton_Keynes
Minster,CT12 4AY,51.343242,1.318059,http://motorwayservices.uk/Minster
Monktonhall,EH21 8RE,55.926192,-3.06055,http://motorwayservices.uk/Monktonhall
Monkton,KA9 2RJ,55.517655,-4.600214,http://motorwayservices.uk/Monkton
Monmouth,NP25 4BG,51.774606,-2.805068,http://motorwayservices.uk/Monmouth
Moor_Farm,NE23 7QA,55.06464,-1.580914,http://motorwayservices.uk/Moor_Farm
Morcott,LE15 9DL,52.593049,-0.64122,http://motorwayservices.uk/Morcott
Moulton,NN3 7TP,52.28692,-0.840578,http://motorwayservices.uk/Moulton
Nene_Valley,NN3 5LU,52.254446,-0.794367,http://motorwayservices.uk/Nene_Valley
Nesscliffe,SY4 1BZ,52.771548,-2.922936,http://motorwayservices.uk/Nesscliffe
Newark,NG24 3UG,53.048585,-0.778455,http://motorwayservices.uk/Newark
Newby_Bridge,LA12 8ND,54.264779,-2.965746,http://motorwayservices.uk/Newby_Bridge
New_Fox,NG33 5LN,52.765769,-0.610642,http://motorwayservices.uk/New_Fox
Newmarket,CB8 0XG,52.249489,0.364271,http://motorwayservices.uk/Newmarket
Newport_Pagnell,MK16 8DS,52.08315,-0.749005,http://motorwayservices.uk/Newport_Pagnell
Newtonmore,PH20 1BB,57.060472,-4.127937,http://motorwayservices.uk/Newtonmore
Newton_Park,DL1 3NL,54.584664,-1.563364,http://motorwayservices.uk/Newton_Park
Newtown_Cross,HR8 2TZ,52.101299,-2.5624,http://motorwayservices.uk/Newtown_Cross
Northampton,NN4 9QS,52.20919,-0.94455,http://motorwayservices.uk/Northampton
North_Muskham,NG23 6HT,53.128742,-0.810949,http://motorwayservices.uk/North_Muskham
Northop_Hall,CH7 6HF,53.197934,-3.090195,http://motorwayservices.uk/Northop_Hall
Northside,HR6 0PJ,52.174295,-2.716367,http://motorwayservices.uk/Northside
Norton_Canes,WS11 9UX,52.665031,-1.967827,http://motorwayservices.uk/Norton_Canes
Nuneaton,CV10 7DA,52.503944,-1.477009,http://motorwayservices.uk/Nuneaton
Nunney_Catch,BA11 4NX,51.200848,-2.376471,http://motorwayservices.uk/Nunney_Catch
Oak,CV5 9AN,52.428201,-1.581168,http://motorwayservices.uk/Oak
Oldbury,GL10 3SJ,51.758808,-2.314336,http://motorwayservices.uk/Oldbury
Old_Inns,G68 0BJ,55.967557,-3.969789,http://motorwayservices.uk/Old_Inns
Ollerton,NG22 9DT,53.200111,-1.027289,http://motorwayservices.uk/Ollerton
Orme_View,LL34 6UN,53.280578,-3.89941,http://motorwayservices.uk/Orme_View
Orsett,RM16 3BJ,51.506028,0.382546,http://motorwayservices.uk/Orsett
Orwell,IP10 0NZ,52.0235,1.186932,http://motorwayservices.uk/Orwell
Oval,NN7 3NA,52.230619,-1.026901,http://motorwayservices.uk/Oval
